"Alabama","9.9","9.5","8.8","8.4","6.2","6.2","6.8","6.3","6"
"Alaska","11.2","11.1","9.9","10.3","9.1","9.1","8.8","8.8","8.4"
"Arizona","11.3","10.4","10.4","9.9","9.6","9.6","9","9.4","9.3"
"Arkansas","7.1","6.6","6.5","7.4","6.5","6.5","5.3","5.1","5.4"
"California","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"Colorado","10.1","9.5","9.6","9.8","9.1","9.1","7.7","7.6","8.3"
"Connecticut","18.4","17.4","15.4","15.5","14.6","14.6","13.9","13.7","13.6"
"Delaware","21.2","21.3","16.9","16.3","15.4","15.4","9.7","11.3","12.5"
"District of Columbia","16.7","15.4","14.7","15.7","7","7","25.3","23.9","23"
"Florida","21.6","21.1","20","19.6","19.3","19.3","18.1","18.5","19.1"
"Georgia","15.8","15","14.7","14.3","14.6","14.6","15.7","16.9","17.1"
"Hawaii","10.1","10.7","7.4","8","7.6","7.6","8","7.6","7"
"Idaho","4.7","4.7","4.4","4.3","4","4","3.7","4.4","4.8"
"Illinois","15.8","16.5","15.7","14.8","15.5","15.5","16.9","18.6","18.7"
"Indiana","7.1","6.8","6.3","6.3","6.1","6.1","6.2","5.8","5.9"
"Iowa","8.3","8","7.6","6.9","6.8","6.8","4.8","6","6.8"
"Kansas","14","13.4","13.3","12.9","12.4","12.4","12.4","12.3","13.4"
"Kentucky","4.6","4.5","4.3","4","3.7","3.7","3.8","4.3","4.8"
"Louisiana","9.6","9.9","10.6","10.9","9.9","9.9","8.7","8.8","8.1"
"Maine","7.4","4.2","8.3","8.6","7.9","7.9","8.4","8.7","8.8"
"Maryland","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"Massachusetts","15.4","14.8","14.3","14.1","13.5","13.5","13.1","13.3","11.8"
"Michigan","12.3","12.2","13.8","14.6","14.4","14.4","14.2","14.6","15.8"
"Minnesota","10.6","10.2","9.4","9.6","9.4","9.4","9.2","9.2","9.5"
"Mississippi","3.7","3.6","3.6","3.8","4.4","4.4","5.1","5.5","6.1"
"Missouri","4.9","4.8","4.6","4.3","4","4","2.5","1.2","0.1"
"Montana","11.9","11.2","10","9.1","8.6","8.6","8.7","8","8.4"
"Nebraska","6.6","6.4","6","6.2","5.5","5.5","5.6","5.5","6.3"
"Nevada","13.1","13","10.9","14.4","12.4","12.4","14.8","14","14.1"
"New Hampshire","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"New Jersey","15.4","13.3","12.6","14","13.4","13.4","13.6","13.2","13.7"
"New Mexico","10.2","8.8","10.5","11.3","11.8","11.8","9.7","9.9","10.7"
"New York","27.6","25.8","24.3","23.9","23.1","23.1","19.8","20.3","16.5"
"North Carolina","13.4","12.4","11.6","12.4","13.9","13.9","13.5","13.8","14.4"
"North Dakota","9.5","9.8","8.4","8.8","7.9","7.9","7.7","7.6","7.9"
"Ohio","11.2","11.5","10.5","9.6","9.5","9.5","9.2","9.1","9.3"
"Oklahoma","7.3","6.9","6.6","6.4","6.1","6.1","6.5","6.4","4.9"
"Oregon","12.6","11.8","10.8","10.6","10.9","10.9","10.6","10.5","8.4"
"Pennsylvania","14.9","14.2","13.3","13.3","13.3","13.3","12.7","13","13.5"
"Rhode Island","19.6","16.8","15.5","14.2","12.6","12.6","13.5","10.1","12.6"
"South Carolina","6.9","6.5","6.3","6.1","6.1","6.1","4.8","5.2","5.5"
"South Dakota","3.9","4.1","3.8","3.5","2.8","2.8","2.4","2.6","0.8"
"Tennessee","12.6","12.4","11","9.5","8.8","8.8","8.2","7.3","8.4"
"Texas","13.4","12.5","11.4","9.6","9.4","9.4","9.2","9.5","9"
"Utah","5.5","5.3","4.9","4.6","4.9","4.9","4.5","4.2","3.3"
"Vermont","11.5","10.9","10.5","10.6","10.9","10.9","10.5","10.4","10.7"
"Virginia","15.3","13.7","12.4","12","11.1","11.1","9.8","9.2","9.2"
"Washington","14.8","13.4","12.7","12.7","12.1","12.1","11.5","11.4","11"
"West Virginia","5.4","5.4","5.5","5.1","4.5","4.5","4.7","3.8","3.2"
"Wisconsin","6.6","6.4","5.9","5.3","5.2","5.2","5.7","6","5.9"
"Wyoming","NSD","NSD","NSD","NSD","NSD","NSD","NSD","0.3","0.8"