Forcible rape rate in the U.S. by state 2020,
"Forcible rape rate per 100,000 inhabitants in the United States in 2020, by state",
,
Alaska,154.80
Arkansas,73.50
South Dakota,67.10
Colorado,62.90
Michigan,60.90
Nebraska,60
Nevada,59
Wyoming,57.20
Utah,55.70
New Mexico,55.50
Montana,55.30
Oklahoma,52.80
North Dakota,51.70
West Virginia,46.60
Louisiana,46
Texas,46
Idaho,45.50
Arizona,44
District of Columbia,43.60
Missouri,43.30
Kansas,43.30
Ohio,43.20
Iowa,40.70
Hawaii,40.40
Illinois,40.40
South Carolina,40
New Hampshire,39.70
Minnesota,39.10
Tennessee,38.90
Mississippi,38.70
Rhode Island,38.50
United States,38.40
Oregon,36.90
Maine,36
Florida,35.40
Indiana,34.80
Washington,34.80
Wisconsin,34.60
Vermont,34.20
California,34.20
Pennsylvania,33.10
Alabama,32.70
Georgia,31.90
Kentucky,30.60
Maryland,28.60
New York,28.30
North Carolina,27.60
Massachusetts,26.90
Virginia,26.50
Delaware,26.40
Connecticut,16.70
New Jersey,14.40